Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
2020-01-22,"Korea, South",,35.907757,127.766922,1,0,0
2020-01-23,"Korea, South",,35.907757,127.766922,1,0,0
2020-01-24,"Korea, South",,35.907757,127.766922,2,0,0
2020-01-25,"Korea, South",,35.907757,127.766922,2,0,0
2020-01-26,"Korea, South",,35.907757,127.766922,3,0,0
2020-01-27,"Korea, South",,35.907757,127.766922,4,0,0
2020-01-28,"Korea, South",,35.907757,127.766922,4,0,0
2020-01-29,"Korea, South",,35.907757,127.766922,4,0,0
2020-01-30,"Korea, South",,35.907757,127.766922,4,0,0
2020-01-31,"Korea, South",,35.907757,127.766922,11,0,0
2020-02-01,"Korea, South",,35.907757,127.766922,12,0,0
2020-02-02,"Korea, South",,35.907757,127.766922,15,0,0
2020-02-03,"Korea, South",,35.907757,127.766922,15,0,0
2020-02-04,"Korea, South",,35.907757,127.766922,16,0,0
2020-02-05,"Korea, South",,35.907757,127.766922,19,0,0
2020-02-06,"Korea, South",,35.907757,127.766922,23,0,0
2020-02-07,"Korea, South",,35.907757,127.766922,24,1,0
2020-02-08,"Korea, South",,35.907757,127.766922,24,1,0
2020-02-09,"Korea, South",,35.907757,127.766922,25,3,0
2020-02-10,"Korea, South",,35.907757,127.766922,27,3,0
2020-02-11,"Korea, South",,35.907757,127.766922,28,3,0
2020-02-12,"Korea, South",,35.907757,127.766922,28,7,0
2020-02-13,"Korea, South",,35.907757,127.766922,28,7,0
2020-02-14,"Korea, South",,35.907757,127.766922,28,7,0
2020-02-15,"Korea, South",,35.907757,127.766922,28,9,0
2020-02-16,"Korea, South",,35.907757,127.766922,29,9,0
2020-02-17,"Korea, South",,35.907757,127.766922,30,10,0
2020-02-18,"Korea, South",,35.907757,127.766922,31,12,0
2020-02-19,"Korea, South",,35.907757,127.766922,31,12,0
2020-02-20,"Korea, South",,35.907757,127.766922,104,16,1
2020-02-21,"Korea, South",,35.907757,127.766922,204,16,2
2020-02-22,"Korea, South",,35.907757,127.766922,433,16,2
2020-02-23,"Korea, South",,35.907757,127.766922,602,18,6
2020-02-24,"Korea, South",,35.907757,127.766922,833,18,8
2020-02-25,"Korea, South",,35.907757,127.766922,977,22,10
2020-02-26,"Korea, South",,35.907757,127.766922,1261,22,12
2020-02-27,"Korea, South",,35.907757,127.766922,1766,22,13
2020-02-28,"Korea, South",,35.907757,127.766922,2337,22,13
2020-02-29,"Korea, South",,35.907757,127.766922,3150,27,16
2020-03-01,"Korea, South",,35.907757,127.766922,3736,30,17
2020-03-02,"Korea, South",,35.907757,127.766922,4335,30,28
2020-03-03,"Korea, South",,35.907757,127.766922,5186,30,28
2020-03-04,"Korea, South",,35.907757,127.766922,5621,41,35
2020-03-05,"Korea, South",,35.907757,127.766922,6088,41,35
2020-03-06,"Korea, South",,35.907757,127.766922,6593,135,42
2020-03-07,"Korea, South",,35.907757,127.766922,7041,135,44
2020-03-08,"Korea, South",,35.907757,127.766922,7314,118,50
2020-03-09,"Korea, South",,35.907757,127.766922,7478,118,53
2020-03-10,"Korea, South",,35.907757,127.766922,7513,247,54
2020-03-11,"Korea, South",,35.907757,127.766922,7755,288,60
2020-03-12,"Korea, South",,35.907757,127.766922,7869,333,66
2020-03-13,"Korea, South",,35.907757,127.766922,7979,510,66
2020-03-14,"Korea, South",,35.907757,127.766922,8086,510,72
2020-03-15,"Korea, South",,35.907757,127.766922,8162,510,75
2020-03-16,"Korea, South",,35.907757,127.766922,8236,1137,75
2020-03-17,"Korea, South",,35.907757,127.766922,8320,1407,81
2020-03-18,"Korea, South",,35.907757,127.766922,8413,1540,84
2020-03-19,"Korea, South",,35.907757,127.766922,8565,1540,91
2020-03-20,"Korea, South",,35.907757,127.766922,8652,1540,94
2020-03-21,"Korea, South",,35.907757,127.766922,8799,1540,102
2020-03-22,"Korea, South",,35.907757,127.766922,8961,2909,111
2020-03-23,"Korea, South",,35.907757,127.766922,8961,2909,111
2020-03-24,"Korea, South",,35.907757,127.766922,9037,3507,120
2020-03-25,"Korea, South",,35.907757,127.766922,9137,3730,126
2020-03-26,"Korea, South",,35.907757,127.766922,9241,4144,131
2020-03-27,"Korea, South",,35.907757,127.766922,9332,4528,139
2020-03-28,"Korea, South",,35.907757,127.766922,9478,4811,144
2020-03-29,"Korea, South",,35.907757,127.766922,9583,5033,152
2020-03-30,"Korea, South",,35.907757,127.766922,9661,5228,158
2020-03-31,"Korea, South",,35.907757,127.766922,9786,5408,162
2020-04-01,"Korea, South",,35.907757,127.766922,9887,5567,165
2020-04-02,"Korea, South",,35.907757,127.766922,9976,5828,169
2020-04-03,"Korea, South",,35.907757,127.766922,10062,6021,174
2020-04-04,"Korea, South",,35.907757,127.766922,10156,6325,177
2020-04-05,"Korea, South",,35.907757,127.766922,10237,6463,183
2020-04-06,"Korea, South",,35.907757,127.766922,10284,6598,186
